"","X","Date","Match.ID","Team.Name","Player.Name","Game..","Mode","Map.Name","Win.Team","Rnds.Won","K.D","Kills","Deaths","Assist","Total.Dmg","Shots.per.Kill","Kills.Min","Deaths.Min","Dmg.Min","Total.Time.Alive","Total.First.Bloods","Total.First.Bloods.Deaths","Total.Hill.Time","Total.Rotation.Kills","Total.Rotation.Deaths","Total.Tacticals.Used","Total.Objective.Tiers.Contributed","Total.Untraded.Kills","Total.Untraded.Deaths","Total.Traded.Kills","Total.Traded.Deaths","Total.Shots.Hit","Total.Shots.Head","Total.Game.Win","Total.Game.Loss","Rnd.Lost","Total.Game.Score","Total.Game.Plus.Minus","Total.Dmg.Dealt","Duration","Stage","Opponent.Name","Total.Opp.Game.Score"
"172",180,"6/17/2023",11477,"NY","Skyz",2,"Control","El Asilo","TOR",0,0.88,14,16,3,1972,19.14,1.4,1.6,197.2,474.512,0,0,"0",0,0,14,4,9,12,5,4,64,5,0,1,3,0,3,"1972",475,"Stage5","TOR",3
"173",181,"6/17/2023",11477,"TOR","CleanX",2,"Control","El Asilo","TOR",3,1.06,19,18,4,2299,17.26,1.9,1.8,229.9,461.024,0,0,"0",0,0,11,5,12,10,7,8,96,8,1,0,0,3,3,"2299",461,"Stage5","NY",0
"174",182,"6/17/2023",11477,"TOR","Hicksy",2,"Control","El Asilo","TOR",3,1.91,21,11,5,2548,14.19,2.1,1.1,254.8,499.872,1,1,"0",0,0,11,4,18,8,3,3,100,5,1,0,0,3,3,"2548",500,"Stage5","NY",0
"175",183,"6/17/2023",11477,"TOR","Insight",2,"Control","El Asilo","TOR",3,1.55,17,11,4,2062,20.53,1.7,1.1,206.2,497.856,0,0,"0",0,0,7,0,16,8,1,3,78,6,1,0,0,3,3,"2062",498,"Stage5","NY",0
"176",184,"6/17/2023",11477,"TOR","Scrap",2,"Control","El Asilo","TOR",3,1.31,17,13,5,2077,18.41,1.7,1.3,207.7,487.488,0,1,"0",0,0,7,4,12,10,5,3,14,7,1,0,0,3,3,"2077",487,"Stage5","NY",0
"177",185,"6/17/2023",11477,"NY","HyDra",1,"S&D","Mercado Las Almas","TOR",3,0.43,3,7,2,467,24,0.25,0.58,38.92,353.952,1,3,"0",0,0,4,0,2,5,1,2,17,1,0,1,6,3,3,"467",354,"Stage5","TOR",3
"178",186,"6/17/2023",11477,"NY","KiSMET",1,"S&D","Mercado Las Almas","TOR",3,1.33,8,6,0,815,15,0.67,0.5,67.92,436.768,1,1,"0",0,0,8,0,5,5,2,0,37,5,0,1,6,3,3,"815",437,"Stage5","TOR",3
"179",187,"6/17/2023",11477,"NY","Priestahh",1,"S&D","Mercado Las Almas","TOR",3,0.29,2,7,6,1025,73.5,0.17,0.58,85.42,473.088,0,1,"0",0,0,9,0,2,3,0,2,36,2,0,1,6,3,3,"1025",473,"Stage5","TOR",3
"180",188,"6/17/2023",11477,"NY","Skyz",1,"S&D","Mercado Las Almas","TOR",3,1,6,6,0,672,15.5,0.5,0.5,56,497.328,1,1,"0",0,0,8,0,3,3,1,0,21,4,0,1,6,3,3,"672",497,"Stage5","TOR",3
"181",189,"6/17/2023",11477,"TOR","CleanX",1,"S&D","Mercado Las Almas","TOR",6,1,7,7,3,1094,17.43,0.58,0.58,91.17,416.784,3,1,"0",0,0,7,0,4,4,3,2,43,4,1,0,3,6,3,"1094",417,"Stage5","NY",0
